#,Project,Developer,Zone,Locality,MahaRERA Reg. No.,Possession,Poss. Month,Poss. Year,Configurations,Carpet Min (sqft),Carpet Max (sqft),Price Range (quoted),Price Min (Rs Cr),Price Max (Rs Cr),Units / Project Area,Status / Construction Notes,Date Confidence,Source,owner
1,Kohinoor Famville,Kohinoor Group,West Pune / IT Belt,Hinjewadi Ph 2,P52100051623,Dec 2027,12,2027,"2, 3 BHK",702,"1,071",90 L - 1.5 Cr,0.90,1.50,383 units / 5.44 ac,"5 towers, 19 floors; under construction",High,link,
2,Saheel Itrend City Life,Saheel Properties,West Pune / IT Belt,Hinjewadi Ph 1,P52100048252,Dec 2027,12,2027,"2, 3 BHK",709,878,80 L - 1.1 Cr,0.80,1.10,181 units / 1.13 ac,"1 tower, 18 floors; near Rajiv Gandhi IT Park",High,link,
3,VTP Bellissimo - Blue Water,VTP Realty,West Pune / IT Belt,Hinjewadi (Maan-Mahalunge Rd),P52100033888,Dec 2027,12,2027,"1, 2, 3 BHK",467,"1,443",70 L - 2.4 Cr,0.70,2.40,1000 units / 7.5 ac,"7 towers, 29 floors; phase of larger township",Medium,link,
4,Kolte Patil Life Republic - Atmos,Kolte-Patil Developers,West Pune / IT Belt,Marunji / Hinjewadi,P52100051765; P52100056082,Oct 2027,10,2027,"2, 2.5, 3 BHK",799,"1,037",70 L - 1.1 Cr,0.70,1.10,1103 units / 8.9 ac,"4 towers, 21 floors",High,link,
5,Lodha Panache,Lodha Group,West Pune / IT Belt,Hinjewadi (Blue Ridge Chowk),P52100050124,Jul 2027,7,2027,2-5 BHK,830,"2,270",1.0 - 3.1 Cr,1.00,3.10,407 units / 10.5 ac,DATE CONFLICT: another portal shows Dec 2029 - likely separate wings,Conflict,link,
6,Rohan Nidita,Rohan Builders,West Pune / IT Belt,Hinjewadi (Hira Sitai Rd),P52100050746,Mar 2027,3,2027,"2, 3 BHK",645,973,70 L - 1.1 Cr,0.70,1.10,174 units / 0.24 ac,"2 towers, 23 floors",High,link,
7,Kolte Patil 24K R5 Sector,Kolte-Patil Developers,West Pune / IT Belt,Marunji (Life Republic),,Dec 2027,12,2027,"3, 4 BHK","1,330","1,700",1.45 - 1.85 Cr,1.45,1.85,,Marketing date only; RERA not located,Low,link,
8,Vilas Yashwin Urbo Centro,Vilas Javdekar Eco Shelters,West Pune / IT Belt,Wakad,P52100053194,Dec 2027,12,2027,"2, 3, 4 BHK",682,"1,291",85 L - 1.65 Cr,0.85,1.65,~1650 units / 8.5 ac,"14 towers, 34 floors; early stage",High,link,
9,Rohan Viti,Rohan Builders,West Pune / IT Belt,Wakad,P52100046719,Dec 2027,12,2027,"2, 3 BHK",696,"1,085",90 L - 1.4 Cr,0.90,1.40,93-128 units / 1-1.5 ac,"3 towers, 10 floors",High,link,
10,Sukhwani Skylines,Sukhwani Associates,West Pune / IT Belt,Wakad,P52100021183,Dec 2027,12,2027,"2, 3 BHK",750,"1,000",90 L - 1.29 Cr,0.90,1.29,700-844 units / 6.2 ac,Phased - earlier wings already delivered; verify wing,Medium,link,
11,Chandrarang Serenity,Chandrarang Group,West Pune / IT Belt,Wakad,P52100023540,Dec 2027,12,2027,"1, 2 BHK",458,632,50 - 75 L,0.50,0.75,145 units / 1.97 ac,DATE CONFLICT: SquareYards RERA record shows Dec 2028,Conflict,link,
12,Prasanna Param,Prasanna Infracon LLP,West Pune / IT Belt,Wakad (Hinjewadi Link Rd),P52100052816,Dec 2027,12,2027,"1, 2, 3 BHK",441,"1,035",40 L - 1.2 Cr,0.40,1.20,65-173 units / 1.12 ac,Under construction,High,link,
13,Kalcon Zenone,Kalcon Infrastructure,West Pune / IT Belt,Wakad (nr Phoenix Mall),P52100053350,Sep 2027,9,2027,"2, 3 BHK",777,"1,100",1.0 - 1.5 Cr,1.00,1.50,96 units / 2.37 ac,"1 tower, 12 floors",High,link,
14,Kamalraj Athens,Kamalraj Group,West Pune / IT Belt,Wakad (Datta Mandir Rd),P52100054711; P52100028848,Jul 2027,7,2027,"2, 3 BHK",824,"1,113",1.25 - 1.75 Cr,1.25,1.75,292 units / 2.34 ac,Two phase registrations,High,link,
15,Sukhwani Ambar,Sukhwani Construction,West Pune / IT Belt,Wakad (Dange Chowk Rd),P52100026576,Jun 2027,6,2027,"2, 3 BHK",803,"1,162",90 L - 1.7 Cr,0.90,1.70,240 units / 2.44 ac,"5 towers, 21 floors",High,link,
16,Sacho Sai Pleasure,Sacho Satram Group,West Pune / IT Belt,Wakad,P52100050930,Jun 2027,6,2027,"2, 3 BHK",617,"1,140",70 L - 1.4 Cr,0.70,1.40,129 units / 2.17 ac,"3 towers, 13 floors",High,link,
